791,0.0014073812575493
788,0.00148008872123607
785,0.00140545183580242
782,0.00137170259768433
779,0.00125837940985217
776,0.00118743636844288
773,0.00115787929032155
770,0.00112619643151331
767,0.00120213154767651
764,0.00127232127543426
761,0.00120866712992095
758,0.00115113382728801
755,0.0011024755570875
752,0.00112770670132258
749,0.00107562037109494
746,0.00103290668628882
743,0.00104678547869579
740,0.00107832245404327
737,0.00103757985355467
734,0.00108070090821199
731,0.000942111997044853
728,0.000814892026908126
725,0.000692893924784513
722,0.000664947744512138
719,0.000729148377924786
716,0.000804310394749261
713,0.000940831626893096
710,0.000994235163741354
707,0.00093722557766878
704,0.000903533723946464
701,0.000907606140955791
698,0.000869031109417891
695,0.000904908684505952
692,0.000898131048431617
689,0.000940152789196976
686,0.000946318706079514
683,0.00095402350616178
680,0.000959079850546072
677,0.000938847493553022
674,0.000963181967534862
671,0.000997816929592278
668,0.000934513393606642
665,0.000946018843350494
662,0.000998180868169025
659,0.00100489967388255
656,0.000958223137684007
653,0.00099971508919867
650,0.000963450783572084
647,0.000997206506337249
644,0.000968585863003509
641,0.000994795916835407
638,0.00100777222071372
635,0.000983883963493158
632,0.00100479002327088
629,0.000978564924497809
626,0.00100434684816777
623,0.000983814602469437
620,0.00098910706919665
617,0.000996478017477422
614,0.00102108503430705
611,0.00099820842084977
608,0.000958492622188465
605,0.00103168025856012
602,0.00100302107235269
599,0.00105277550533892
596,0.00104427580317285
593,0.00102668385173356
590,0.00100673068307445
587,0.0010639176434351
584,0.00108313845647834
581,0.00113939642423862
578,0.00107434444058559
575,0.00106866031660248
572,0.00106102284496633
569,0.00108257200212986
566,0.00108296839528138
563,0.00110319829275856
560,0.001112797609103
557,0.00110035303397264
554,0.00110842123388628
551,0.00115138410952613
548,0.00115541680456311
545,0.000841324224698313
542,0.00122242324529073
539,0.00123806180187208
536,0.00129354003873782
533,0.00136621132566505
530,0.00139345007813054
527,0.00141627386552541
524,0.00146899201457832
521,0.00147359009010796
518,0.00160327671457851
515,0.00161267243745552
512,0.00151625648240528
509,0.00155619450122614
506,0.00209009107449012
503,0.00176537747910056
500,0.001899115727419
497,0.00186121962130122
494,0.00199422518361262
491,0.00203462529169873
488,0.00211210902354311
485,0.00220716314849918
482,0.00226138988215123
479,0.00244332648529071
476,0.00255561566819316
473,0.00264384192059829
470,0.00280034846659538
467,0.00294985765405172
464,0.00333356315128635
461,0.00353756527045438
458,0.00364361979007504
455,0.00371010925233689
452,0.00377558063267276
449,0.00395680134804308
446,0.0041216024136502
443,0.00435878780699053
440,0.00458733066456181
437,0.00474338195215967
434,0.00492796473074441
431,0.00518495829048172
428,0.00538843760132196
425,0.00564569647698761
422,0.0058672083071322
419,0.00622202068380841
416,0.00654383504439661
413,0.00695935656170959
410,0.00737977708759296
407,0.00783717702927016
404,0.00828609709672897
401,0.00876855045969207
398,0.00933044603174988
395,0.00989183734837754
392,0.0105380413534321
389,0.0112142023437419
386,0.0119053929904409
383,0.0126149086349673
380,0.0133567307685961
377,0.0141984518131381
374,0.0151010530120909
371,0.0161086790711557
368,0.017140823758573
365,0.0182050479550448
362,0.0193338893131893
359,0.0204533127427606
356,0.0216841967578864
353,0.0229617487351657
350,0.0242849312646182
347,0.0257081252769829
344,0.0271574439250296
341,0.0287689612076896
338,0.0304023625283104
335,0.0321178591137527
332,0.0339617586518788
329,0.0359006026534247
326,0.0379646699256532
323,0.0402206646724694
320,0.0424913606148628
317,0.0448471825821988
314,0.0474086241219693
311,0.0500406056006957
308,0.0527848598848108
305,0.0556962358993828
302,0.058743121306748
299,0.0618043992805982
296,0.0649078181656049
293,0.0672011021328032
290,0.0711689278993876
287,0.0744943828746638
284,0.0781160030992677
281,0.0818177605106881
278,0.0856208953313243
275,0.0894106330410196
272,0.0934280409574218
269,0.0973364676858645
266,0.101358358122766
263,0.105391100723017
260,0.109128661654488
257,0.112933313912341
254,0.116826196461362
251,0.120383929115799
248,0.124466775802849
245,0.128655796497375
242,0.133548933780898
239,0.138773293278411
236,0.143823432846376
233,0.147504996275213
230,0.156543371668807
