"Project","Sample_ID","Zone","Grid","Depth_cm","Source","Volume_mL","Collection_Date","Evacuation_Date","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","H2S_mean","H2S_sd","H2S_cv","H2S_Conc_flag","H2S_cv_flag","H2S_QAQC_flag","Dilution","Analysis_rundate","Field_notes","Run_notes"
"TMP","TMP_C_PW_B4_20250131_15CM","C","B4","15cm","PW",5,20250131,20250128,1236,1219,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_B4_20250204_15CM","C","B4","15cm","PW",5,20250204,20250131,1219,1055,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_B4_20250509_15CM","C","B4","15cm","PW",5,20250509,20250506,906,1339,0,0,0,"bdl","Within Range","",1,"20250926","sub-sampled at 1422","MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_B4_20250602_15CM","C","B4","15cm","PW",5,20250602,20250530,1322,1558,0,0,0,"bdl","Within Range","",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_C3_20250131_15CM","C","C3","15cm","PW",5,20250131,20250128,1225,1137,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_C3_20250204_15CM","C","C3","15cm","PW",5,20250204,20250131,1137,1043,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926","light color","MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_C3_20250602_15CM","C","C3","15cm","PW",5,20250602,20250530,1324,1609,0,0,0,"bdl","Within Range","",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_C6_20250204_15CM","C","C6","15cm","PW",5,20250204,20250131,1235,1107,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_C6_20250403_15CM","C","C6","15cm","PW",5,20250403,20250331,1348,1350,0,0,0,"bdl","Within Range","",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
"TMP","TMP_C_PW_C6_20250602_15CM","C","C6","15cm","PW",5,20250602,20250530,1318,1546,0,0,0,"bdl","Within Range","",1,"20250926",NA,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates."
