"Project","Zone","Grid","Depth_cm","sample_type","Vial_ID","date","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_runtime","Run_notes","Evacuation_date_YYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Volume_mL","Type"
"COMPASS: TEMPEST","FW","C6",15,"DOC","FW_C6_DOC_20240610_T0",20240610,8.087,673.916666666667,"NPOC checks out of range",0.3714,26.5285714285714,"TN checks out of range","6/18/2024 7:34:38 PM",NA,20240607,20240610,1434,1349,"EDT",10,NA
"COMPASS: TEMPEST","FW","I5",15,"DOC","FW_I5_DOC_20240610_T0",20240610,12.82,1068.33333333333,"NPOC checks out of range",0.5957,42.55,"TN checks out of range","6/18/2024 8:00:35 PM",NA,20240607,20240610,1503,1445,"EDT",10,NA
"COMPASS: TEMPEST","SW","B4",15,"DOC","SW_B4_DOC_20240611_T1",20240611,19.21,1600.83333333333,"NPOC checks out of range",1.46,104.285714285714,"TN checks out of range","6/18/2024 8:26:42 PM",NA,20240610,20240611,1305,1400,"EDT",10,NA
"COMPASS: TEMPEST","FW","C3",15,"DOC","FW_C3_DOC_20240611_T1",20240611,5.329,444.083333333333,"NPOC checks out of range",0.2405,17.1785714285714,"TN checks out of range","6/18/2024 8:53:20 PM",NA,20240610,20240611,1409,1417,"EDT",10,NA
"COMPASS: TEMPEST","FW","C6",15,"DOC","FW_C6_DOC_20240611_T1",20240611,4.18,348.333333333333,"NPOC checks out of range",0.2676,19.1142857142857,"TN checks out of range","6/18/2024 9:17:23 PM",NA,20240610,20240611,1349,1400,"EDT",10,NA
"COMPASS: TEMPEST","FW","D5",15,"DOC","FW_D5_DOC_20240611_T1",20240611,5.84,486.666666666667,"NPOC checks out of range",0.00678,0.484285714285714,"TN checks out of range","6/18/2024 9:41:37 PM",NA,20240610,20240611,1403,1330,"EDT",10,NA
"COMPASS: TEMPEST","FW","F4",15,"DOC","FW_F4_DOC_20240611_T1",20240611,7.564,630.333333333333,"NPOC checks out of range",0.3032,21.6571428571429,"TN checks out of range","6/18/2024 10:04:50 PM",NA,20240610,20240611,1419,1343,"EDT",10,NA
"COMPASS: TEMPEST",NA,NA,15,"DOC","FW_I5_DOC_20250611_T1",NA,7.35,612.5,"NPOC checks out of range",0.6129,43.7785714285714,"TN checks out of range","6/18/2024 10:30:11 PM",NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: TEMPEST","SW","C3",15,"DOC","SW_C3_DOC_20240612_T3",20240612,5.273,439.416666666667,"NPOC checks out of range",0.2527,18.05,"TN checks out of range","6/19/2024 3:43:54 AM",NA,20240612,20240612,931,1540,"EDT",10,NA
"COMPASS: TEMPEST","SW","B4",15,"DOC","SW_B4_DOC_20240614_T6",20240614,5.398,449.833333333333,"NPOC checks out of range",0.427,30.5,"TN checks out of range","6/19/2024 6:51:34 PM",NA,20240613,20240614,1544,1506,"EDT",10,NA
"COMPASS: TEMPEST","SW","C3",15,"DOC","SW_C3_DOC_20240614_T6",20240614,5.674,472.833333333333,"NPOC checks out of range",0.3358,23.9857142857143,"TN checks out of range","6/19/2024 7:15:22 PM",NA,20240613,20240614,1557,1443,"EDT",10,NA
"COMPASS: TEMPEST","SW","D5",15,"DOC","SW_D5_DOC_20240614_T6",20240614,3.971,330.916666666667,"NPOC checks out of range",0.2582,18.4428571428571,"TN checks out of range","6/19/2024 7:38:19 PM",NA,20240613,20240614,1529,1453,"EDT",10,NA
"COMPASS: TEMPEST","SW","E3",15,"DOC","SW_E3_DOC_20240614_T6",20240614,4.342,361.833333333333,"NPOC checks out of range",0.309,22.0714285714286,"TN checks out of range","6/19/2024 8:02:00 PM",NA,20240613,20240614,1513,1438,"EDT",10,NA
"COMPASS: TEMPEST","SW","F6",15,"DOC","SW_F6_DOC_20240614_T6",20240614,4.04,336.666666666667,"NPOC checks out of range",0.2032,14.5142857142857,"TN checks out of range","6/19/2024 9:10:41 PM",NA,20240613,20240614,1519,1420,"EDT",10,NA
"COMPASS: TEMPEST","SW","H6",15,"DOC","SW_H6_DOC_20240614_T6",20240614,4.46,371.666666666667,"NPOC checks out of range",0.2951,21.0785714285714,"TN checks out of range","6/19/2024 9:35:34 PM",NA,20240613,20240614,1446,1415,"EDT",10,NA
"COMPASS: TEMPEST","FW","C3",15,"DOC","FW_C3_DOC_20240614_T6",20240614,4.841,403.416666666667,"NPOC checks out of range",0.1826,13.0428571428571,"TN checks out of range","6/19/2024 9:57:40 PM",NA,20240613,20240614,1624,1518,"EDT",10,NA
"COMPASS: TEMPEST","FW","C6",15,"DOC","FW_C6_DOC_20240614_T6",20240614,4.284,357,"NPOC checks out of range",0.1261,9.00714285714286,"TN checks out of range","6/19/2024 10:19:46 PM",NA,20240613,20240614,1537,1455,"EDT",10,NA
"COMPASS: TEMPEST","FW","D5",15,"DOC","FW_D5_DOC_20240614_T6",20240614,6.521,543.416666666667,"NPOC checks out of range",0.3691,26.3642857142857,"TN checks out of range","6/19/2024 10:42:22 PM",NA,20240613,20240614,1612,1424,"EDT",10,NA
"COMPASS: TEMPEST","FW","E3",15,"DOC","FW_E3_DOC_20240614_T6",20240614,7.641,636.75,"NPOC checks out of range",0.2835,20.25,"TN checks out of range","6/19/2024 11:05:45 PM",NA,20240613,20240614,1530,1529,"EDT",10,NA
"COMPASS: TEMPEST","FW","F4",15,"DOC","FW_F4_DOC_20240614_T6",20240614,5.791,482.583333333333,"NPOC checks out of range",0.02767,1.97642857142857,"TN checks out of range","6/19/2024 11:29:17 PM",NA,20240613,20240614,1506,1535,"EDT",10,NA
"COMPASS: TEMPEST","FW","H3",15,"DOC","FW_H3_DOC_20240614_T6",20240614,4.228,352.333333333333,"NPOC checks out of range",0.1816,12.9714285714286,"TN checks out of range","6/19/2024 11:51:57 PM",NA,20240613,20240614,1456,1546,"EDT",10,NA
