"Sample_ID","integration_time_s","dilution_factor","RSU_area_1s","abs_file_id","eem_file_id","Evacuation_date_YYYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","Notes","Deployment_Date_YYYYMMDD","Deployment_Time_24hrs","EST_EDT"
"TMP_PW_FW_POOLED_15CM_20220623_T3","1","1","3012","TMP_PW_FW_POOLED_15CM_20220623_T3_ABS_DilCorr.dat","TMP_PW_FW_POOLED_15CM_20220623_T3_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220623,938,NA,NA,NA,NA,NA
"TMP_SOURCE_ESTUARY_20220622_HR7","1","1","3012","TMP_SOURCE_ESTUARY_20220622_HR7_ABS_DilCorr.dat","TMP_SOURCE_ESTUARY_20220622_HR7_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,1500,NA,NA,NA,NA
"TMP_PW_FW_H6_15CM_20220622_T2","1","1","3012","TMP_PW_FW_H6_15CM_20220622_T2_ABS_DilCorr.dat","TMP_PW_FW_H6_15CM_20220622_T2_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,1614,NA,NA,NA,NA,"EDT"
"TMP_SOURCE_FW_20220622_HR5","1","1","3012","TMP_SOURCE_FW_20220622_HR5_ABS_DilCorr.dat","TMP_SOURCE_FW_20220622_HR5_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,1200,NA,"NA","NA","EDT"
"TMP_SOURCE_FW_20220622_HR4","1","1","3012","TMP_SOURCE_FW_20220622_HR4_ABS_DilCorr.dat","TMP_SOURCE_FW_20220622_HR4_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,1100,NA,"NA","NA","EDT"
"TMP_PW_C_POOLED_15CM_20220623_T3","1","0.4","3012","TMP_PW_C_POOLED_15CM_20220623_T3_ABS_DilCorr.dat","TMP_PW_C_POOLED_15CM_20220623_T3_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220623,938,NA,NA,NA,NA,NA
"TMP_SOURCE_FW_20220622_HR7","1","1","3012","TMP_SOURCE_FW_20220622_HR7_ABS_DilCorr.dat","TMP_SOURCE_FW_20220622_HR7_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,1448,NA,"NA","NA","EDT"
"TMP_SOURCE_SW_20220622_HR3","1","1","3012","TMP_SOURCE_SW_20220622_HR3_ABS_DilCorr.dat","TMP_SOURCE_SW_20220622_HR3_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,1000,NA,"NA","NA","EDT"
"TMP_SOURCE_SW_20220622_HR3","1","1","3012","TMP_SOURCE_SW_20220622_HR3_ABS_DilCorr.dat","TMP_SOURCE_SW_20220622_HR3_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,1000,NA,"NA","NA","EDT"
"TMP_PW_SW_POOLED_15CM_20220622_T2","1","1","3012","TMP_PW_SW_POOLED_15CM_20220622_T2_ABS_DilCorr.dat","TMP_PW_SW_POOLED_15CM_20220622_T2_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,1614,1749,NA,NA,NA,NA
"TMP_PW_FW_POOLED_15CM_20220620_T0","1","0.5","2984","TMP_PW_FW_POOLED_15CM_20220620_T0_ABS_DilCorr.dat","TMP_PW_FW_POOLED_15CM_20220620_T0_EEM_DilCorr_IFE_RamNorm.dat",20220618,20220620,1015,NA,NA,NA,NA,NA
"TMP_SOURCE_SW_20220622_HR0","1","1","3012","TMP_SOURCE_SW_20220622_HR0_ABS_DilCorr.dat","TMP_SOURCE_SW_20220622_HR0_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,645,NA,"NA","NA","EDT"
"TMP_SOURCE_FW_20220622_HR3","1","1","2984","TMP_SOURCE_FW_20220622_HR3_ABS_DilCorr.dat","TMP_SOURCE_FW_20220622_HR3_EEM_DilCorr_IFE_RamNorm.dat",20220622,20220622,NA,1000,NA,"NA","NA","EDT"
"TMP_PW_FW_POOLED_15CM_20220615","1","0.75","2984","TMP_PW_FW_POOLED_15CM_20220615_ABS_DilCorr.dat","TMP_PW_FW_POOLED_15CM_20220615_EEM_DilCorr_IFE_RamNorm.dat",20220615,20220615,1200,NA,NA,NA,NA,NA
