"","Column_Names","Description","Units","Instrument_ifapplicable"
"1","Project","Project name","NA","NA"
"2","Sample_ID","Sample_ID","NA","NA"
"3","Year","Year of sample collection","NA","NA"
"4","Month","Month of sample collection","NA","NA"
"5","Day","Day of sample collection","NA","NA"
"6","Zone","Plot where sample collected (Control, Freshwater, Saltwater)","NA","NA"
"7","Grid","Grid where sample collected (Letter + Number)","NA","NA"
"8","pH","pH of sample","NA","NA"
"9","collection_temp_C","Temperature at time of collection in Celsius","degrees Celsius","NA"
"10","tz","Time zone of sample collection","NA","NA"
"11","Date_YYYYMMDD","Date of sample collection","NA","NA"
"12","Time_24hr","Time of sample collection (HHMM)","NA","NA"
"13","Evacuation_Date","Date of sample evacuation","NA","NA"
"14","temperature_flag","Flag to indicate if temperature was not recorded","NA","NA"
"15","pH_flag","Flag to indicate if the pH is outside of the typicaly range","NA","NA"
